,SRR31057074,SRR31057075,SRR31057076,SRR31057077,SRR31057078,SRR31057079,SRR31057080,SRR31057082,SRR31057083,SRR31057084,SRR31057085,SRR31057086,SRR31057087,SRR31057088,SRR31057089,SRR31057090,SRR31057091,SRR31057093,SRR31057094,SRR31057095,SRR31057096,SRR31057097,SRR31057098,SRR31057099,SRR31057100,SRR31057101,SRR31057102,SRR31057104,SRR31057105,SRR31057106,SRR31057107,SRR31057108,SRR31057109,SRR31057110,SRR31057111,SRR31057112,SRR31057113,SRR31057115,SRR31057116,SRR31057117,SRR31057118,SRR31057119,SRR31057120,SRR31057121
unknown_unknown_unknown-otu-41-275,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-42-207,0,0,76,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,170,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-44-167,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,29,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-46-134,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-49-109,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-50-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,163,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-53-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-56-68,0,0,0,0,0,0,0,0,0,0,0,0,81,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-57-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-59-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-61-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-62-42,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,6,16,0,16,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-63-39,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-64-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-66-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-67-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-7-18347,0,0,0,19832,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,69,62,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-71-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-73-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-74-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-75-27,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-76-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-77-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-78-24,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
